i,j,dist_km
Z0276003,Z0899001,20.67690338515756
Z0276003,Z0908001,23.017311738804306
Z0276003,Z0951001,12.104227236988155
Z0276003,Z0951002,12.104227236988155
Z0276003,Z0972001,33.46667361949143
Z0276003,Z1031001,6.64483375804021
Z0276003,Z1031002,6.64483375804021
Z0276003,Z1119001,3.712258128895317
Z0276003,Z1169001,16.021014203136577
Z0276003,Z1367001,13.636619339867234
Z0276003,Z1524001,15.068223476683032
Z0276003,Z1665001,29.499571318815523
Z0276003,Z1769001,20.968873925062553
Z0276003,Z1899001,20.179847194273222
Z0276003,Z1899002,20.179847194273222
Z0276003,Z2011001,20.114263355462107
Z0276003,Z2135001,19.05654244173918
Z0276003,Z2135002,19.05654244173918
Z0276003,Z2136001,19.936160060279157
Z0283001,Z0284001,35.16591627208065
Z0283001,Z0386001,38.05788554640346
Z0283001,Z0386002,38.05788554640346
Z0283001,Z0386003,38.05788554640346
Z0283001,Z0386004,38.05788554640346
Z0283001,Z0386005,38.05788554640346
Z0283001,Z0386006,38.05788554640346
Z0283001,Z0386007,38.05788554640346
Z0283001,Z0646001,4.2754349976917725
Z0283001,Z0646002,4.2754349976917725
Z0283001,Z0646003,4.2754349976917725
Z0283001,Z0646004,4.2754349976917725
Z0283001,Z0899001,3.225060221093133
Z0283001,Z0908001,1.4780180455054839
Z0283001,Z0951001,35.999701134803175
Z0283001,Z0951002,35.999701134803175
Z0283001,Z0972001,11.569989806911508
Z0283001,Z1031001,17.404595009492702
Z0283001,Z1031002,17.404595009492702
Z0283001,Z1119001,22.219518035248623
Z0283001,Z1169001,10.269515587624648
Z0283001,Z1367001,20.2316503896655
Z0283001,Z1524001,9.398820520894786
Z0283001,Z1665001,25.95939794067992
Z0283001,Z1769001,11.359025960340277
Z0283001,Z1899001,12.063287931918449
Z0283001,Z1899002,12.063287931918449
Z0283001,Z2011001,12.070438147304126
Z0283001,Z2135001,11.410483161105878
Z0283001,Z2135002,11.410483161105878
Z0283001,Z2136001,9.096783729732108
Z0284001,Z0386001,3.0427796930757713
Z0284001,Z0386002,3.0427796930757713
Z0284001,Z0386003,3.0427796930757713
Z0284001,Z0386004,3.0427796930757713
Z0284001,Z0386005,3.0427796930757713
Z0284001,Z0386006,3.0427796930757713
Z0284001,Z0386007,3.0427796930757713
Z0284001,Z0646001,30.939862358139074
Z0284001,Z0646002,30.939862358139074
Z0284001,Z0646003,30.939862358139074
Z0284001,Z0646004,30.939862358139074
Z0284001,Z0899001,31.951256154547348
Z0284001,Z0908001,34.235479558616746
Z0284001,Z0951001,1.2009259240400911
Z0284001,Z0951002,1.2009259240400911
Z0284001,Z0972001,44.30359158733731
Z0284001,Z1031001,17.941616536965757
Z0284001,Z1031002,17.941616536965757
Z0284001,Z1119001,13.860707207919937
